행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
세종특별자치시,6,12,8,9,14,18,20,22,586,21,6,377,2107
경기도 수원시,12,17,13,10,17,25,29,25,1880,172,64,18404,69546
경기도 성남시,11,16,12,10,15,25,28,25,1829,129,43,9843,46942
경기도 안양시,11,17,13,11,16,25,27,26,985,71,49,5974,28467
경기도 부천시,12,16,12,9,16,24,27,24,1144,107,65,10081,41053
경기도 광명시,11,15,13,10,15,25,28,26,516,31,66,3435,18420
경기도 평택시,12,16,13,12,14,23,27,26,654,61,68,7281,30978
경기도 안산시,12,16,13,10,15,24,27,23,884,89,73,7360,34954
경기도 과천시,9,16,13,9,11,25,28,22,76,3,74,316,2826
경기도 오산시,13,17,14,12,16,25,31,27,271,12,99,5623,16571
경기도 시흥시,13,16,13,12,17,24,28,27,700,32,75,6022,29619
경기도 군포시,12,15,13,11,16,24,28,26,403,33,67,3245,15126
경기도 의왕시,11,15,12,10,15,23,27,22,168,7,72,1485,7490
경기도 하남시,14,17,13,9,18,25,28,21,305,12,81,3048,16083
경기도 용인시,13,16,14,12,16,25,30,28,1865,59,66,15584,70018
경기도 이천시,12,15,12,10,13,23,26,24,352,28,65,2490,13184
경기도 안성시,12,13,12,11,13,20,26,25,214,19,80,2487,10917
경기도 김포시,13,18,14,12,17,26,30,27,724,38,69,10084,31544
경기도 화성시,14,17,15,13,16,25,31,30,1340,59,75,17442,63581
경기도 광주시,12,18,14,11,15,27,29,25,398,10,81,2550,19866
경기도 여주시,10,11,9,8,12,18,24,20,103,8,80,1066,5428
경기도 양평군,8,12,8,8,11,19,22,20,87,4,80,560,5251
경기도 의정부시,12,16,13,10,16,25,28,24,671,47,60,4929,22730
경기도 동두천시,10,15,11,9,10,22,23,20,90,8,71,654,5014
경기도 고양시,12,16,13,10,15,25,28,25,1864,136,55,13049,54934
경기도 구리시,11,16,13,10,18,24,28,25,365,21,53,2171,10213
경기도 남양주시,12,17,13,11,16,25,28,26,942,30,78,9895,44661
경기도 파주시,13,16,14,11,16,23,30,26,575,34,84,7309,29748
